,Question,Option,Total,Male,Female,Mindset 1 of 2,Mindset 2 of 2,Mindset 1 of 3,Mindset 2 of 3,Mindset 3 of 3,Prelim Q1,Prelim Q2,Prelim Q3,Prelim Q4,Prelim Q5,Prelim Q6,Prelim Q7,Prelim Q8
0,Elemental Serenity,"It feels cool and expansive in my hand, like the stillness of a frozen lake or the depths of the ocean.",22.0,28.0,16.0,24.0,21.0,20.0,22.0,25.0,21.0,26.0,21.0,26.0,20.0,33.0,23.0,26.0
1,Elemental Serenity,"The surface is frosted and mist-like, with a glacial purity that feels calm and restorative.",18.0,17.0,20.0,19.0,18.0,15.0,28.0,19.0,17.0,24.0,17.0,24.0,15.0,28.0,16.0,44.0
2,Elemental Serenity,"It flows without edges, shaped by water and air, connecting me to untouched nature.",18.0,23.0,12.0,22.0,14.0,18.0,15.0,25.0,16.0,27.0,16.0,27.0,19.0,15.0,7.0,15.0
3,Elemental Serenity,The pale blue and silvery tones look like crystalline water under a serene sky.,23.0,26.0,20.0,23.0,24.0,15.0,22.0,37.0,25.0,18.0,25.0,18.0,24.0,25.0,23.0,16.0
4,Sunburst Vitality,"It feels bold and geometric in my hand, like a burst of energy drawn from nature.",23.0,23.0,23.0,28.0,17.0,31.0,25.0,11.0,23.0,27.0,23.0,27.0,20.0,32.0,28.0,32.0
5,Sunburst Vitality,"The texture feels fresh and bright, like the surface of citrus fruit or sunlit botanicals.",17.0,18.0,16.0,16.0,18.0,16.0,27.0,10.0,15.0,25.0,15.0,25.0,17.0,10.0,26.0,40.0
6,Sunburst Vitality,"Sharp shapes and lively details radiate vitality, like striking bursts of freshness.",20.0,21.0,18.0,26.0,12.0,29.0,19.0,9.0,20.0,21.0,20.0,21.0,17.0,17.0,35.0,36.0
7,Sunburst Vitality,The colors are energizing—sunny yellows and bright greens that feel full of life.,20.0,19.0,21.0,25.0,12.0,26.0,12.0,17.0,19.0,22.0,19.0,22.0,20.0,14.0,25.0,26.0
8,Fresh & Vital,"It stands upright and vibrant, like something pulsing with nature’s energy.",19.0,18.0,18.0,15.0,20.0,16.0,24.0,12.0,18.0,23.0,18.0,23.0,21.0,8.0,24.0,39.0
9,Fresh & Vital,"The texture is organic, like foaming washes and leafy, natural surfaces.",14.0,9.0,17.0,11.0,18.0,12.0,24.0,6.0,13.0,16.0,13.0,16.0,16.0,6.0,5.0,40.0
10,Fresh & Vital,"It feels shaped by fresh juice and water, full of movement and renewal.",16.0,14.0,17.0,14.0,18.0,12.0,32.0,6.0,15.0,21.0,15.0,21.0,18.0,9.0,22.0,28.0
11,Fresh & Vital,"The green is lush and full of vitality, like plants bursting with life.",19.0,17.0,20.0,19.0,18.0,20.0,21.0,16.0,19.0,17.0,19.0,17.0,19.0,18.0,24.0,17.0
12,Playful Purity,"It feels light and playful in my hand, with a shape that adds joy to staying clean.",19.0,17.0,22.0,24.0,13.0,26.0,21.0,6.0,20.0,18.0,20.0,18.0,17.0,24.0,26.0,28.0
13,Playful Purity,"Smooth and creamy with a soft shine, it feels gentle and refreshing to touch.",12.0,4.0,21.0,21.0,1.0,24.0,10.0,-3.0,12.0,12.0,12.0,12.0,8.0,23.0,16.0,24.0
14,Playful Purity,There’s a bit of transparency and soft curves that make it feel unexpected and fun.,18.0,13.0,23.0,24.0,10.0,27.0,14.0,9.0,19.0,17.0,19.0,17.0,21.0,9.0,12.0,28.0
15,Playful Purity,Pastels with splashes of bright tones make it feel joyful and expressive.,18.0,14.0,21.0,27.0,4.0,26.0,10.0,11.0,19.0,14.0,19.0,14.0,21.0,3.0,16.0,30.0
