,Question,Option,Total,Male,Female,Mindset 1 of 2,Mindset 2 of 2,Mindset 1 of 3,Mindset 2 of 3,Mindset 3 of 3,Prelim Q1,Prelim Q2,Prelim Q3,Prelim Q4,Prelim Q5,Prelim Q6,Prelim Q7,Prelim Q8
0,Elemental Serenity,"It feels cool and expansive in my hand, like the stillness of a frozen lake or the depths of the ocean.",3.0,1.0,6.0,0.0,8.0,1.0,7.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,0.0,0.0
1,Elemental Serenity,"The surface is frosted and mist-like, with a glacial purity that feels calm and restorative.",1.0,0.0,2.0,1.0,1.0,-1.0,-2.0,3.0,2.0,-4.0,2.0,-4.0,1.0,-3.0,6.0,0.0
2,Elemental Serenity,"It flows without edges, shaped by water and air, connecting me to untouched nature.",3.0,0.0,6.0,3.0,2.0,3.0,3.0,4.0,4.0,-2.0,4.0,-2.0,3.0,1.0,7.0,0.0
3,Elemental Serenity,The pale blue and silvery tones look like crystalline water under a serene sky.,1.0,0.0,2.0,1.0,1.0,3.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,6.0,0.0
4,Sunburst Vitality,"It feels bold and geometric in my hand, like a burst of energy drawn from nature.",6.0,7.0,5.0,3.0,10.0,3.0,6.0,9.0,6.0,4.0,6.0,4.0,8.0,3.0,0.0,0.0
5,Sunburst Vitality,"The texture feels fresh and bright, like the surface of citrus fruit or sunlit botanicals.",7.0,6.0,9.0,9.0,6.0,7.0,7.0,9.0,8.0,3.0,8.0,3.0,11.0,-2.0,1.0,0.0
6,Sunburst Vitality,"Sharp shapes and lively details radiate vitality, like striking bursts of freshness.",4.0,3.0,6.0,5.0,3.0,4.0,2.0,6.0,4.0,4.0,4.0,4.0,7.0,-3.0,-5.0,0.0
7,Sunburst Vitality,The colors are energizing—sunny yellows and bright greens that feel full of life.,5.0,3.0,7.0,4.0,7.0,3.0,7.0,6.0,5.0,1.0,5.0,1.0,7.0,5.0,-5.0,0.0
8,Fresh & Vital,"It stands upright and vibrant, like something pulsing with nature’s energy.",4.0,5.0,3.0,6.0,1.0,5.0,-1.0,8.0,4.0,1.0,4.0,1.0,4.0,6.0,0.0,0.0
9,Fresh & Vital,"The texture is organic, like foaming washes and leafy, natural surfaces.",6.0,6.0,7.0,11.0,0.0,13.0,-6.0,8.0,6.0,5.0,6.0,5.0,7.0,2.0,11.0,0.0
10,Fresh & Vital,"It feels shaped by fresh juice and water, full of movement and renewal.",3.0,3.0,5.0,5.0,2.0,6.0,-3.0,6.0,3.0,5.0,3.0,5.0,4.0,4.0,-2.0,0.0
11,Fresh & Vital,"The green is lush and full of vitality, like plants bursting with life.",1.0,1.0,2.0,4.0,-1.0,6.0,-3.0,0.0,0.0,8.0,0.0,8.0,2.0,-2.0,3.0,0.0
12,Playful Purity,"It feels light and playful in my hand, with a shape that adds joy to staying clean.",1.0,4.0,-2.0,-3.0,5.0,-5.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,7.0,-3.0,0.0
13,Playful Purity,"Smooth and creamy with a soft shine, it feels gentle and refreshing to touch.",0.0,3.0,-4.0,-7.0,7.0,-8.0,6.0,4.0,0.0,-1.0,0.0,-1.0,-1.0,5.0,-3.0,0.0
14,Playful Purity,There’s a bit of transparency and soft curves that make it feel unexpected and fun.,0.0,2.0,-2.0,-3.0,3.0,-7.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,5.0,-4.0,0.0
15,Playful Purity,Pastels with splashes of bright tones make it feel joyful and expressive.,2.0,5.0,0.0,0.0,6.0,0.0,6.0,3.0,3.0,-1.0,3.0,-1.0,0.0,12.0,7.0,0.0
